case_id,CTR_SIZE,GROSS,YARD_SLOT,dwell_hours,flag_quarantine,flag_customs,flag_damage,n_events,n_unique_roles,n_unique_activities,hours_atb_to_discharge,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AKLU6300349-2021-07-05,40.0,27.3,116.0,,1,0,0,11,6,11,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AKLU6500075-2021-08-04,40.0,26.2,26.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AKLU6500666-2021-07-26,40.0,26.7,62.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,7.0
AKLU6504173-2021-07-13,40.0,28.61,96.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AKLU6507207-2021-07-18,40.0,24739.0,58.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AKLU6900220-2021-07-10,40.0,14323.0,22.0,,0,0,0,9,6,9,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
ALQU7005000-2021-09-15,20.0,17.1,57.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
ALRU7404304-2021-09-03,40.0,14.8,74.0,,0,0,0,9,6,9,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMCU2500292-2021-07-14,20.0,11386.0,33.0,,0,0,0,9,6,9,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,16.0
AMCU2501370-2021-09-19,20.0,18.06,77.0,,0,0,0,9,6,9,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14.0
AMCU4600578-2021-08-29,40.0,16.76,100.0,,0,0,0,9,6,9,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14.0
AMCU4601846-2021-08-29,40.0,16.76,100.0,,0,0,0,9,6,9,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14.0
AMCU9262452-2021-07-07,40.0,25.5,4.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9262977-2021-08-02,40.0,33.6,18.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9265446-2021-07-06,40.0,33.63,18.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9268595-2021-08-09,40.0,28.7,2.0,,1,0,0,13,7,13,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AMCU9269210-2021-09-07,40.0,27.5,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,32.0
AMCU9269919-2021-07-25,40.0,27295.0,10.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9270592-2021-08-02,40.0,28.7,38.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9271304-2021-07-19,40.0,33.52,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AMCU9271428-2021-08-09,40.0,28.7,10.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9272276-2021-07-25,40.0,26.02,4.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6.0
AMCU9272635-2021-08-02,40.0,33.6,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9273570-2021-08-02,40.0,33.6,20.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,22.0
AMCU9274807-2021-07-07,40.0,29.0,4.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9275193-2021-08-28,40.0,33.6,96.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,8.0
AMCU9275568-2021-08-13,40.0,27.7,12.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9275594-2021-08-28,40.0,33.42,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20.0
AMCU9275716-2021-09-19,40.0,30.0,22.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9276604-2021-07-07,40.0,27.0,72.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16.0
AMCU9277663-2021-09-25,40.0,28.7,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9278320-2021-08-09,40.0,28.4,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9278567-2021-08-22,40.0,33.6,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9278628-2021-07-19,40.0,33.6,8.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6.0
AMCU9279096-2021-09-11,40.0,28.4,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AMCU9279347-2021-08-13,40.0,32.56,34.0,,0,0,0,10,6,10,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.0
AMCU9279516-2021-07-07,40.0,27.7,96.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16.0
AMCU9285400-2021-08-13,40.0,28.8,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20.0
AMCU9285777-2021-09-19,40.0,31.9,30.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9286095-2021-07-21,40.0,33.7,18.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17.0
AMCU9286942-2021-08-16,40.0,25922.0,42.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9287390-2021-08-22,40.0,29.3,8.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9288164-2021-08-13,40.0,29.2,56.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,13.0
AMCU9288647-2021-08-28,40.0,27.0,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9289242-2021-07-19,40.0,33.74,12.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3.0
AMCU9289601-2021-09-03,40.0,26.0,6.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9292760-2021-09-27,40.0,29.2,72.0,,1,0,0,11,6,11,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,16.0
AMCU9293345-2021-09-03,40.0,26.1,14.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,30.0
AMCU9294573-2021-09-07,40.0,28.0,18.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.0
AMCU9294700-2021-08-13,40.0,33.61,12.0,,0,0,0,14,7,14,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.0
AMCU9294737-2021-09-07,40.0,27.0,38.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMCU9295585-2021-07-19,40.0,33.56,10.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,20.0
AMCU9296452-2021-08-13,40.0,28.3,2.0,,1,0,0,12,7,12,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29.0
AMFU1410940-2021-09-15,20.0,5.2,77.0,,0,0,0,9,6,9,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3063109-2021-09-16,20.0,22.49,45.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31.0
AMFU3101831-2021-08-20,20.0,20.3,71.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0
AMFU3143190-2021-06-27,20.0,27.9,111.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AMFU3151278-2021-08-09,20.0,28.8,31.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3152818-2021-07-16,20.0,20593.0,85.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16.0
AMFU3153012-2021-08-28,20.0,25.45,93.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AMFU3157553-2021-09-17,20.0,26.49,91.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AMFU3158776-2021-07-20,20.0,26.95,1.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3159350-2021-09-04,20.0,27236.0,35.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3165008-2021-08-28,20.0,22.18,57.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3167079-2021-07-13,20.0,16.7,5.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3171989-2021-09-25,20.0,22.6,23.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31.0
AMFU3173359-2021-08-17,20.0,22.4,103.0,,1,0,0,11,6,11,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3179613-2021-07-05,20.0,29025.0,65.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0
AMFU3187476-2021-08-12,20.0,28.5,83.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3187835-2021-08-19,20.0,23.54,107.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,8.0
AMFU3189680-2021-08-28,20.0,30.2,91.0,,0,0,0,15,7,15,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AMFU3190103-2021-07-24,20.0,29.1,37.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3197617-2021-06-21,20.0,8.75,57.0,,0,0,0,15,7,15,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3197767-2021-08-09,20.0,22.9,99.0,,1,0,0,11,6,11,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3201234-2021-07-24,20.0,29.8,67.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3202800-2021-09-19,20.0,6083.0,121.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0
AMFU3203181-2021-08-31,20.0,22.28,51.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3204660-2021-09-17,20.0,29727.0,69.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16.0
AMFU3207504-2021-09-23,20.0,29.1,5.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3213451-2021-09-03,20.0,30.2,51.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10.0
AMFU3235168-2021-09-25,20.0,25.14,29.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3236170-2021-08-14,20.0,26.6,41.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,8.0
AMFU3236863-2021-09-11,20.0,8.2,93.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11.0
AMFU3239498-2021-08-14,20.0,19.4,119.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12.0
AMFU3242784-2021-08-02,20.0,29.7,137.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,8.0
AMFU3244719-2021-08-09,20.0,28.8,37.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3251739-2021-08-09,20.0,23.31,19.0,,1,0,0,11,6,11,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3253665-2021-06-27,20.0,26.3,79.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14.0
AMFU3262219-2021-08-12,20.0,26065.0,103.0,,0,0,0,9,6,9,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9.0
AMFU3276629-2021-07-07,20.0,20.6,13.0,,1,0,0,12,7,12,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,20.0
