case_id,CTR_SIZE,GROSS,YARD_SLOT,n_events,n_unique_activities,n_unique_roles,hours_atb_to_discharge,flag_quarantine,flag_customs,flag_damage,dwell_hours,CTR_TYPE_DRY,CTR_TYPE_FLT,CTR_TYPE_O/T,CTR_TYPE_OVD,CTR_TYPE_RFR,CTR_TYPE_TNK,JOB_DEL_DOCTYPE_BC23,JOB_DEL_DOCTYPE_BCF26,JOB_DEL_DOCTYPE_LAIN2,JOB_DEL_DOCTYPE_LELANG,JOB_DEL_DOCTYPE_NNMITA,JOB_DEL_DOCTYPE_PLP,JOB_DEL_DOCTYPE_SPPB,JOB_DEL_DOCTYPE_TMBLU,YARD_BLOCK_enc
AAMU4008250-2021-09-07,40.0,33.7,4.0,4,4,4,4.141032777777778,1,0,0,63.05916666666667,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008265-2021-09-07,40.0,28.7,14.0,5,5,5,14.090041666666668,1,0,0,26.371111111111112,False,False,False,False,True,False,False,False,False,False,False,False,True,False,21
AAMU4008291-2021-07-07,40.0,33.7,18.0,5,5,5,20.963240555555554,1,0,0,11.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008326-2021-09-07,40.0,25.8,12.0,6,6,6,5.973989722222223,1,0,0,15.300277777777778,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
AAMU4008413-2021-09-11,40.0,23.4,26.0,6,6,6,12.947014166666666,1,0,0,38.75055555555556,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4008558-2021-08-02,40.0,28.7,12.0,4,4,4,8.2682025,1,0,0,113.18472222222222,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4008645-2021-09-01,40.0,28.0,30.0,7,7,7,10.227510277777776,1,0,0,33.64277777777778,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31
AAMU4008666-2021-09-16,40.0,33.0,8.0,4,4,4,2.9334591666666667,0,0,0,7.538333333333333,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU4009003-2021-09-11,40.0,28.7,22.0,6,6,6,2.51691,1,0,0,38.17638888888889,False,False,False,False,True,False,False,False,False,False,False,False,True,False,29
AAMU4009528-2021-08-02,40.0,25.9,22.0,3,3,3,3.2906616666666664,1,0,0,63.93694444444444,False,False,False,False,True,False,False,False,False,False,False,False,True,False,17
AAMU8000787-2021-09-25,20.0,29.0,23.0,4,4,4,25.061866666666667,0,0,0,50.71111111111111,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16
AAMU8000792-2021-09-25,20.0,27.4,23.0,4,4,4,25.041050277777778,0,0,0,67.17277777777778,False,False,False,False,False,True,False,False,False,False,False,False,True,False,16
ACCU2049701-2021-07-13,20.0,30.08,111.0,3,3,3,3.984157777777778,0,0,0,200.25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AKLU6000450-2021-09-17,20.0,26.61,143.0,5,5,5,18.769252499999997,0,0,0,12.375,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AKLU6006170-2021-08-21,20.0,3319.0,105.0,4,4,4,2.5525800000000003,0,0,0,48.66888888888889,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AKLU6017560-2021-09-01,20.0,22.4,85.0,4,4,4,14.299310277777778,0,0,0,12.171666666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,16
AKLU6018802-2021-08-10,20.0,22.8,99.0,3,3,3,13.383127777777778,0,0,0,75.28138888888888,True,False,False,False,False,False,False,False,False,False,False,False,True,False,11
AKLU6019075-2021-08-21,20.0,22.21,83.0,4,4,4,7.053049722222222,0,0,0,48.18638888888889,True,False,False,False,False,False,False,False,False,False,False,False,True,False,14
AKLU6023542-2021-09-18,20.0,29404.0,89.0,5,5,5,17.713060555555554,0,0,0,38.65638888888889,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AKLU6025756-2021-07-10,20.0,22.51,5.0,7,7,7,4.6380469444444445,1,0,0,49.68333333333333,True,False,False,False,False,False,False,False,False,False,False,False,True,False,31
AKLU6026480-2021-07-31,20.0,29.55,37.0,4,4,4,5.881447777777778,0,0,0,66.34777777777778,True,False,False,False,False,False,False,False,False,False,False,False,True,False,12
AKLU6028307-2021-06-30,20.0,2.9,71.0,9,9,6,26.19964138888889,0,0,0,1.3333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,True,False,13
AKLU6029643-2021-08-21,20.0,30.25,131.0,4,4,4,5.497390833333333,0,0,0,43.7125,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AKLU6300349-2021-07-05,40.0,27.3,116.0,6,6,6,6.444035,1,0,0,17.266666666666666,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
AKLU6500075-2021-08-04,40.0,26.2,26.0,4,4,4,10.764157777777777,0,0,0,24.034444444444443,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AKLU6500666-2021-07-26,40.0,26.7,62.0,4,4,4,14.2143925,0,0,0,7.466666666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,7
AKLU6504173-2021-07-13,40.0,28.61,96.0,3,3,3,18.968335555555555,0,0,0,47.31666666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AKLU6507207-2021-07-18,40.0,24739.0,58.0,3,3,3,2.5668738888888885,0,0,0,405.0466666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,9
AKLU6900220-2021-07-10,40.0,14323.0,22.0,3,3,3,9.699169722222221,0,0,0,136.23333333333332,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
ALQU7005000-2021-09-15,20.0,17.1,57.0,4,4,4,9.758258611111112,0,0,0,141.34416666666667,True,False,False,False,False,False,False,False,False,False,False,False,True,False,10
ALRU7404304-2021-09-03,40.0,14.8,74.0,3,3,3,29.323581944444445,0,0,0,137.47694444444446,False,True,False,False,False,False,False,False,False,False,False,False,True,False,14
AMCU2500292-2021-07-14,20.0,11386.0,33.0,3,3,3,8.9046625,0,0,0,51.6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,16
AMCU2501370-2021-09-19,20.0,18.06,77.0,4,4,4,3.9861352777777777,0,0,0,80.1025,False,False,True,False,False,False,False,False,False,False,False,False,True,False,14
AMCU4600578-2021-08-29,40.0,16.76,100.0,4,4,4,16.2640875,0,0,0,93.00027777777778,False,False,False,True,False,False,False,False,False,False,False,False,True,False,14
